park,2012,2013,2014,2015,2016,2017,2018,2019
Acadia National Park,2431052,2254922,2563128,2811184,3303394,3509271,3537575
American Samoa National Park,10440,17919,13952,13893,28893,69468,28625
Arches National Park,1070577,1082866,1284768,1399247,1585719,1539028,1663556
Badlands National Park,883406,892373,868094,989354,996263,1054325,1008942
Big Bend National Park,292055,316952,314102,381747,388290,440275,440091
Biscayne National Park,495613,486848,525745,508164,514709,446961,469254
Black Canyon Of The Gunnison National Park,192570,175852,183046,209165,238017,307142,308962
Bryce Canyon National Park,1385352,1311875,1435741,1745804,2365111,2571684,2679478
Canyonlands National Park,452952,462242,542431,634607,776217,742272,739450
Capitol Reef National Park,673345,663670,786515,941029,1064904,1150165,1227626
Carlsbad Caverns National Park,381058,388565,397309,445721,466772,520026,465912
Channel Islands National Park,249594,212028,342161,324815,364808,383687,366249
Congaree National Park,109685,120341,120123,87513,143843,159595,145928
Crater Lake National Park,447251,523027,535508,614712,756343,711749,720658
Cuyahoga Valley National Park,2299722,2103010,2189849,2284612,2423391,2226879,2096053
Death Valley National Park,984568,951973,1101312,1154843,1296283,1294827,1678659
Denali National Park,388433,530921,531315,560757,587412,642809,594661
Dry Tortugas National Park,60550,58400,64865,70862,73661,54280,56810
Everglades National Park,1141906,1047116,1110900,1077427,930907,1018557,597124
Gates Of The Arctic National Park,10899,11012,12669,10745,10047,11177,9591
Glacier Bay National Park,454337,500590,500727,551353,520171,547057,597916
Glacier National Park,2162035,2190374,2338528,2366057,2946681,3305513,2965310
Grand Canyon National Park,4421352,4564841,4756771,5520736,5969811,6254238,6380494
Grand Teton National Park,2705256,2688795,2791393,3149920,3270075,3316999,3491151
Great Basin National Park,94850,92893,107525,116124,144847,168027,153094
Great Sand Dunes National Park,254674,242841,271774,299513,388307,486935,442906
Great Smoky Mountains National Park,9685829,9354695,10099276,10712673,11312786,11338893,11421201
Guadalupe Mountains National Park,159360,145670,166868,169535,181838,225257,172347
Haleakala National Park,1094668,785300,1142040,1216772,1263559,1112390,1044083
Hawaii Volcanoes National Park,1483928,1583209,1693005,1832660,1887580,2016702,1116890
Hot Springs National Park,1302505,1325719,1424485,1418163,1544301,1561615,1506887
Indiana Dunes National Park,1889381,1681694,1553372,1640195,1698222,2158471,1756080
Isle Royale National Park,16663,16274,14560,18684,24966,28196,25798
Jean Lafitte National Park,419694,400128,445524,405618,438420,456667,529878
Joshua Tree National Park,1396117,1383341,1589904,2025755,2505286,2853619,2942381
Katmai National Park,39818,28966,30896,37818,37818,37818,37818
Kenai Fjords National Park,281279,283502,270666,296697,346534,303598,321596
Kings Canyon National Park,591033,567544,502267,468105,607479,692932,699023
Kobuk Valley National Park,29550,16875,0.0,0,15500,15500,14937
Lake Clark National Park,11639,13000,16100,17818,21102,22755,14479
Lassen Volcanic National Park,407653,427408,432977,468092,536068,507256,499435
Mammoth Cave National Park,508054,494541,522628,566895,586515,587854,533206
Mesa Verde National Park,488860,460237,501563,547325,583527,613789,563421
Mount Rainier National Park,1049178,1148553,1264259,1237232,1356913,1415867,1518491
North Cascades National Park,26935,21623,23865,20677,28646,30326,30085
Olympic National Park,2824908,3085340,3243873,3263761,3390221,3401997,3104455
Petrified Forest National Park,664857,644648,836800,793226,643273,627756,644921
Pinnacles National Park,224476,237677,196636,206532,215555,233334,222152
Redwood National Park,352517,393364,429166,527143,536297,445000,482535
Rocky Mountain National Park,3229617,2991141,3434750,4155917,4517586,4437215,4590493
Saguaro National Park,634286,678261,673572,753446,820427,964759,957405
Sequoia National Park,1106584,909275,1039137,1097464,1254688,1291256,1229594
Shenandoah National Park,1210200,1136505,1255320,1321873,1437341,1458874,1264880
Theodore Roosevelt National Park,640555,545091,559580,580033,753880,708003,749389
Virgin Islands National Park,483341,438601,426931,438371,411343,304408,112287
Voyageurs National Park,214841,233389,239159,238313,241911,237249,239657
Wind Cave National Park,529083,516142,547022,612199,617377,619924,656398
Wrangell - St Elias National Park,87158,69984,74722,80366,79047,68292,79450
Yellowstone National Park,3447729,3188030,3513483,4097709,4257177,4116523,4115001
Yosemite National Park,3853404,3691192,3882642,4150218,5028868,4336889,4009438
Zion National Park,2973607,2807387,3189696,3648846,4295127,4504812,4320032
